AromaSense Herbal Analysis Data
Sample Name,lengkuas
Herbal Type,lengkuas
Export Date,2025-11-28T17:12:34.789826
Analysis Mode,Auto FSM
Total Data Points,7239
Final Duration,1809.50 s

Time (s),NO2 Sensor,Ethanol Sensor,VOC Sensor,CO Sensor,MiCS CO,MiCS Ethanol,MiCS VOC
23.500,0.90,0.72,0.21,0.07,1.23,0.64,0.32
23.750,0.90,0.72,0.22,0.07,1.23,0.64,0.32
24.000,0.90,0.72,0.22,0.07,1.23,0.64,0.32
24.250,0.90,0.72,0.22,0.07,1.23,0.64,0.32
24.500,0.90,0.72,0.22,0.07,1.23,0.64,0.32
24.750,0.90,0.72,0.22,0.07,1.23,0.64,0.32
25.000,0.90,0.72,0.22,0.07,1.23,0.64,0.32
25.250,0.90,0.72,0.22,0.07,1.23,0.64,0.32
25.500,0.90,0.72,0.22,0.07,1.23,0.64,0.32
25.750,0.90,0.72,0.22,0.06,1.23,0.64,0.32
26.000,0.90,0.72,0.22,0.07,1.11,0.56,0.28
26.250,0.90,0.72,0.22,0.06,1.23,0.64,0.32
26.500,0.90,0.72,0.22,0.06,1.23,0.64,0.32
26.750,0.90,0.72,0.22,0.06,1.23,0.64,0.32
27.000,0.90,0.72,0.22,0.06,1.23,0.64,0.32
27.250,0.90,0.72,0.23,0.06,1.23,0.64,0.32
27.500,0.90,0.72,0.23,0.06,1.23,0.64,0.32
27.750,0.90,0.72,0.23,0.06,1.23,0.64,0.32
28.000,0.90,0.72,0.23,0.06,1.23,0.64,0.32
28.250,0.90,0.72,0.23,0.06,1.23,0.64,0.32
28.500,0.90,0.72,0.23,0.06,1.17,0.60,0.30
28.750,0.90,0.72,0.23,0.06,1.23,0.64,0.32
29.000,0.90,0.72,0.23,0.06,1.23,0.64,0.32
29.250,0.90,0.72,0.23,0.06,1.23,0.64,0.32
29.500,0.90,0.72,0.23,0.06,1.29,0.69,0.34
29.750,0.90,0.72,0.23,0.06,1.23,0.64,0.32
30.000,0.90,0.72,0.23,0.06,1.17,0.60,0.30
30.250,0.90,0.72,0.23,0.06,1.29,0.69,0.34
30.500,0.90,0.72,0.23,0.06,1.29,0.69,0.34
30.750,0.90,0.72,0.23,0.06,1.29,0.69,0.34
31.000,0.90,0.72,0.23,0.06,1.29,0.69,0.34
31.250,0.90,0.72,0.23,0.06,1.29,0.69,0.34
31.500,0.90,0.72,0.23,0.06,1.29,0.69,0.34
